"indice_tiempo","poburb_18a65_tasaempleo_arg","poburb_18a65_tasaempleo_2","poburb_18a65_tasaempleo_6","poburb_18a65_tasaempleo_10","poburb_18a65_tasaempleo_14","poburb_18a65_tasaempleo_18","poburb_18a65_tasaempleo_22","poburb_18a65_tasaempleo_26","poburb_18a65_tasaempleo_30","poburb_18a65_tasaempleo_34","poburb_18a65_tasaempleo_38","poburb_18a65_tasaempleo_42","poburb_18a65_tasaempleo_46","poburb_18a65_tasaempleo_50","poburb_18a65_tasaempleo_54","poburb_18a65_tasaempleo_58","poburb_18a65_tasaempleo_62","poburb_18a65_tasaempleo_66","poburb_18a65_tasaempleo_70","poburb_18a65_tasaempleo_74","poburb_18a65_tasaempleo_78","poburb_18a65_tasaempleo_82","poburb_18a65_tasaempleo_86","poburb_18a65_tasaempleo_90","poburb_18a65_tasaempleo_94"
2019-10-01,0.662,0.763,0.649,0.652,0.651,0.618,0.616,0.647,0.644,0.529,0.679,0.632,0.606,0.696,0.646,0.666,0.643,0.661,0.688,0.684,0.658,0.649,0.653,0.642,0.606
2020-01-01,0.65,0.753,0.637,0.614,0.649,0.632,0.627,0.61,0.627,0.527,0.653,0.656,0.627,0.691,0.671,0.64,0.604,0.641,0.649,0.674,0.65,0.629,0.613,0.609,0.56
2020-04-01,0.534,0.644,0.505,0.55,0.551,0.494,0.555,0.543,0.528,0.448,0.591,0.526,0.568,0.586,0.593,0.55,0.583,0.528,0.551,0.598,0.598,0.534,0.505,0.504,0.426
2020-07-01,0.59,0.664,0.553,0.589,0.653,0.57,0.573,0.64,0.597,0.469,0.584,0.609,0.586,0.662,0.636,0.626,0.601,0.62,0.617,0.648,0.648,0.632,0.612,0.562,0
2020-10-01,0.626,0.715,0.606,0.639,0.629,0.578,0.6,0.656,0.608,0.486,0.64,0.64,0.593,0.682,0.67,0.649,0.634,0.633,0.661,0.642,0.636,0.625,0.617,0.602,0.596
2021-01-01,0.657,0.709,0.656,0.621,0.654,0.613,0.582,0.622,0.638,0.502,0.669,0.661,0.602,0.725,0.681,0.601,0.628,0.655,0.631,0.658,0.64,0.67,0.627,0.605,0.615
2021-04-01,0.655,0.734,0.642,0.611,0.654,0.61,0.591,0.625,0.646,0.495,0.679,0.623,0.669,0.728,0.698,0.632,0.643,0.656,0.653,0.68,0.635,0.675,0.642,0.599,0.632
2021-07-01,0.674,0.769,0.664,0.616,0.678,0.632,0.572,0.648,0.631,0.501,0.666,0.656,0.671,0.721,0.674,0.662,0.641,0.658,0.66,0.673,0.648,0.701,0.653,0.614,0.65
2021-10-01,0.687,0.775,0.683,0.616,0.694,0.644,0.589,0.67,0.62,0.532,0.671,0.678,0.638,0.733,0.678,0.67,0.625,0.676,0.68,0.647,0.682,0.697,0.637,0.623,0.631
2022-01-01,0.678,0.761,0.669,0.664,0.672,0.624,0.594,0.65,0.623,0.58,0.659,0.691,0.651,0.741,0.708,0.674,0.615,0.679,0.672,0.683,0.641,0.693,0.643,0.637,0.669
2022-04-01,0.7,0.775,0.693,0.651,0.688,0.645,0.642,0.649,0.629,0.574,0.688,0.706,0.672,0.748,0.756,0.663,0.619,0.698,0.689,0.684,0.696,0.727,0.664,0.675,0.697
